Frequency (Hz), Storage (MPa), Loss (MPa) - EPrim_TATATO_Pa.txt
3251155.419399, 2376.940000, 215.001000
3415837.059878, 2395.180000, 244.841000
3519788.689788, 2455.490000, 247.312000
4098909.652205, 2403.420000, 213.451000
4298000.000000, 2440.130000, 231.619000
4429568.254527, 2525.750000, 245.922000
5162103.908291, 2431.640000, 205.764000
5412311.337559, 2465.010000, 217.997000
5566515.753897, 2435.730000, 303.830000
6510532.905992, 2452.100000, 199.372000
6806445.635601, 2485.740000, 215.097000
6978960.385397, 2721.950000, -258.543000
8169486.501750, 2476.720000, 185.768000
8568817.651089, 2510.970000, 201.574000
8876134.257294, 2093.790000, 596.254000
10303484.671887, 2502.610000, 182.983000
10787488.554873, 2535.160000, 194.001000
11054950.129007, 2443.290000, 681.705000
12933631.643111, 2524.350000, 175.596000
13584258.668320, 2552.570000, 188.035000
13929864.805848, 2255.610000, 244.578000
16270624.984272, 2542.370000, 170.059000
17087937.734741, 2572.870000, 174.703000
17789324.329852, 2839.570000, 95.302600
20468605.131407, 2560.490000, 169.350000
21501001.290789, 2607.630000, 189.705000
22017863.705281, 2480.670000, 95.549200
25777822.783239, 2581.590000, 172.447000
27104142.926041, 2610.070000, 151.828000
27718881.374775, 2563.330000, 149.674000
34094935.026995, 2638.790000, 152.662000
35040536.208552, 2689.870000, 203.917000
42957185.337987, 2656.840000, 149.692000
43947253.743351, 2666.430000, 107.439000
54022581.053869, 2673.620000, 146.350000
56264644.693859, 2765.470000, 169.002000
68154866.286987, 2690.500000, 132.897000
69614066.680551, 2719.630000, 121.963000
85824776.875181, 2709.440000, 133.776000
88587166.549825, 2740.030000, 126.209000
107846230.446845, 2720.590000, 128.465000
111604439.647255, 2767.340000, 119.548000
135698286.874258, 2729.030000, 122.933000
139123474.641891, 2769.020000, 123.926000
170652286.087830, 2715.960000, 88.192200
176060684.826664, 2770.380000, 130.977000
215181541.891675, 2764.360000, 128.175000
225030065.197864, 2790.120000, 102.800000
270609548.500516, 2764.520000, 122.861000
279787245.081594, 2790.230000, 108.489000
340949350.269951, 2779.910000, 117.166000
348645538.254611, 2810.260000, 112.342000
428088718.662394, 2790.800000, 116.431000
441055285.698364, 2810.350000, 98.973500
564949454.678950, 2820.730000, 107.573000
700531577.411779, 2829.830000, 102.173000
876704649.227545, 2837.870000, 104.096000
1106886615.386155, 2846.270000, 109.930000
1407275006.845426, 2840.870000, 111.904000
